lat,lon
9.9,84.2
10.0,92.1
14.9,88.0
19.4,88.5
20.1,88.7
20.8,89.0
18.9,88.0
18.0,88.0
17.4,88.1
17.8,86.8
10.1,84.1
5.3,80.7
7.3,82.5
17.3,86.3
19.9,90.0
18.5,86.8
19.9,88.3
19.7,88.0
18.8,86.9
18.8,88.9
13.8,96.4
11.1,83.3
9.9,83.1
8.0,88.7
12.0,88.2
17.9,86.0
23.1,84.8
20.7,90.5
17.5,87.5
19.0,88.9
18.4,90.6
24.7,84.4
16.3,87.2
20.1,86.7
17.1,93.1
11.0,92.3
9.4,92.4
7.3,85.5
7.6,85.5
14.6,90.7
18.0,87.7
20.8,88.6
16.1,85.6
21.5,87.0
18.2,87.1
20.9,88.0
17.1,88.6
20.0,89.1
21.0,93.0
22.6,85.5
10.3,91.9
8.6,88.0
12.8,93.5
18.5,86.5
20.7,89.2
15.1,87.1
21.4,89.4
24.1,85.7
20.2,89.5
21.3,87.8
9.7,83.0
14.1,92.7
13.9,94.3
8.7,86.7
10.8,94.3
9.5,90.0
14.2,84.4
19.5,88.9
20.7,87.5
19.7,87.9
18.3,87.0
18.5,87.1
19.4,89.1
18.9,88.9
14.9,86.1
15.7,95.4
9.9,87.5
8.7,88.2
10.8,91.2
10.1,89.0
14.2,96.7
20.8,89.7
20.1,88.3
20.2,86.7
19.1,89.0
21.0,88.9
24.5,80.5
19.4,87.3
21.1,87.7
18.1,90.1
16.5,94.0
11.9,80.4
14.6,95.6
11.1,81.1
10.2,84.4
11.0,94.0
7.7,84.8
20.5,89.2
24.0,88.4
21.8,90.5
13.9,91.4
17.6,90.2
8.1,91.1
9.0,89.4
7.2,88.1
7.0,82.0
22.6,87.4
18.5,86.6
23.2,87.5
20.6,89.0
24.0,90.7
21.3,88.7
19.0,90.9
18.6,91.5
22.1,85.7
23.6,84.9
22.8,90.6
18.5,93.1
14.7,81.4
10.0,81.6
9.6,94.8
11.8,82.7
19.3,87.5
21.1,88.9
